,Dining Hall,Meal Period,Station,Dish,Serving Size,Calories (kcal),Total Lipid/Fat (g),Saturated fatty acid (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Total Dietary Fiber (g),Sugar (g),Added Sugar (g),Protein (g),Vitamin A (iu),Vitamin C (mg),Calcium (mg),Iron (mg),Vitamin A (rae),Phosphorus (mg),Potassium (mg),Vitamin D(iu),Allergens,Ingredients
Frank_Breakfast_Ropa Vieja,Frank,Breakfast,Mainline,Ropa Vieja,85.00 FHP2,147.68,11,4.24,NA,38.11,140.97,2.2,0.59,0.95,NA,9.62,181.44,15.6,13.01,1.32,0.81,0,N/A,N/A,,"Beef, Diced Tomatoes, Tomato Juice, Sea Salt, Calcium Chloride, Citric Acid, Red Onion, Green Bell Pepper, Yellow Bell Pepper, Red Bell Pepper, Green Olives, Water, Salt, Tomatoes, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Garlic, Water, Kosher Salt, Black Pepper, Dried Oregano, Cumin, Beef Base (Roasted Beef And Natural Juices, Maltodextrin, Salt, Cane Sugar, Beef Stock, Beef Fat, Yeast Extract, Potato Starch, Celery Concentrate, Dried Garlic, Dried Onion, Caramel Color, Natural Flavor), Bay Leaf"
Frank_Breakfast_Mushroom Ropa Vieja/Hotel Pan,Frank,Breakfast,Mainline,Mushroom Ropa Vieja/Hotel Pan,113.40 FHP2,33.5,1.01,0.15,0,0,173.89,5.47,1.65,2.84,NA,1.83,314.37,29.47,12.18,0.49,238.91,6.53,N/A,N/A,Soy,"Portobello Mushroom, Water, Green Bell Pepper, Diced Tomatoes, Tomato Juice, Sea Salt, Calcium Chloride, Citric Acid, Red Onion, Yellow Bell Pepper, Red Bell Pepper, Green Olives, Water, Salt, Tomatoes, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Vegetables And Vegetable Juice Concentrate (Carrots, Celery, Onion, Tomato) Salt, Soy Sauce (Water, Soybeans, Salt, Alcohol), Cane Sugar, Maltodextrin, Yeast Extract, Potato Starch, Onion Powder, Garlic Powder, Spice, Garlic, Kosher Salt, Black Pepper, Cumin, Dried Oregano, Bay Leaf"
Frank_Breakfast_Steamed Jasmine Rice,Frank,Breakfast,Mainline,Steamed Jasmine Rice,85.05 FHP2,96.78,0,0,NA,0,2.07,22.58,0,0,NA,1.61,0,0,1.56,0,0,0,N/A,N/A,,"Water, White Scented Jasmine Rice"
Frank_Breakfast_Steamed Spinach,Frank,Breakfast,Mainline,Steamed Spinach,85.00 FHP2,16.29,0.28,0.04,NA,0,55.96,2.57,1.56,0.3,NA,2.03,6642.04,19.9,70.12,1.92,395.25,0,N/A,N/A,,Spinach
Frank_Breakfast_Baked Plantains,Frank,Breakfast,Mainline,Baked Plantains,85.05 FHP2,153.09,2.98,0.43,0,0,21.26,28.92,1.7,20.41,NA,1.7,425.25,0,0,0.92,0,0,N/A,N/A,,"Plantain (Ripe Plantains, Vegetable Oil)"
Frank_Breakfast_Allergen Friendly Station,Frank,Breakfast,Expo Station,Allergen Friendly Station,1.00 EA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Frank_Breakfast_Thai Chicken Curry Bowl,Frank,Breakfast,Expo Station,Thai Chicken Curry Bowl,226.00 FHP2,258.1,12.14,3.68,0.04,59.46,224.75,22.23,2.46,5.39,NA,15.42,669.97,41.89,34.92,1.75,79.99,0,N/A,N/A,,"Chicken Skinless Thigh;Water;Coconut Milk (Coconut Extract, Water, Citric Acid, Sodium Metabisulfite (preservative).);Snap Peas;Bean Sprouts;Scallions;White Scented Jasmine Rice;Yellow Bell Pepper;Red Bell Pepper;Water, onion, dried chilli, lemon grass, salt, sugar, tamarind puree, modified tapioca starch, garlic, kaffir lime leaves, coriander, Bird`s Eye Chilli;Canola Oil;Japanese Eggplant;Brown Sugar;Cornstarch;Kosher Salt;Black Pepper;Garlic;Thai Basil;"
Frank_Breakfast_Thai Tofu Curry Bowl,Frank,Breakfast,Expo Station,Thai Tofu Curry Bowl,238.00 SERV,280.09,14.8,4.25,0.03,0,114.96,28.38,3.72,7.14,NA,10.56,647.29,50.7,325.75,2.15,36.15,0,N/A,N/A,Soy,"Tofu (Water, Soybeans, Calcium Sulfate);Water;White Onion;Coconut Milk (Coconut Extract, Water, Citric Acid, Sodium Metabisulfite (preservative).);Bean Sprouts;Snap Peas;White Scented Jasmine Rice;Yellow Bell Pepper;Red Bell Pepper;Water, onion, dried chilli, lemon grass, salt, sugar, tamarind puree, modified tapioca starch, garlic, kaffir lime leaves, coriander, Bird`s Eye Chilli;Canola Oil;Brown Sugar;Thai Basil;"
Frank_Breakfast_Zero Zone (Descr),Frank,Breakfast,Expo Station,Zero Zone (Descr),1.00 EA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Frank_Breakfast_Grilled Halal Chicken Breast,Frank,Breakfast,Expo Station,Grilled Halal Chicken Breast,85.00 FHP2,217.02,16.69,3.64,0.02,62.42,178.61,0.26,0.05,0.04,NA,15.01,117.38,1.78,10.02,0.77,2.16,0,N/A,N/A,,"Halal Chicken Breast (May Contain Up To 2% Absorbed Water), Canola Oil, Lemon Juice, Kosher Salt, Black Pepper, Onion Powder, Garlic"
Frank_Breakfast_Teff/Cooked,Frank,Breakfast,Expo Station,Teff/Cooked,5108.95 FHP2,7549.85,0,0,NA,0,113.759,1660.91,151.074,NA,NA,301.922,NA,NA,3105.21,NA,6.28E-08,6.28E-08,N/A,N/A,,Water;Brown Teff;
Frank_Breakfast_Bean/Cannellini/Cooked,Frank,Breakfast,Expo Station,Bean/Cannellini/Cooked,85.00 LB,291.43,0,0,0,0,24.28,51,21.85,2.43,NA,19.43,0,2.92,145.72,6.55,NA,NA,N/A,N/A,,Cannelinni Beans
Frank_Breakfast_Roasted Yellow Squash  Zucchini,Frank,Breakfast,Expo Station,Roasted Yellow Squash  Zucchini,85.00 FHP2,18.4,0.57,0.11,NA,0,52.57,3,0.98,2.15,NA,1.12,183.63,15.99,14.49,0.34,119.61,0,N/A,N/A,,"Zucchini, Yellow Squash, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Kosher Salt, Black Pepper"
Frank_Breakfast_Red Pepper Coulis,Frank,Breakfast,Expo Station,Red Pepper Coulis,20.59 SERV,12.5085,0.872478,0.124995,NA,NA,78.894,0.882384,0.178314,0.0774996,NA,0.167008,278.304,18.4522,3.25976,0.117183,2.53E-10,2.53E-10,N/A,N/A,,"Roasted Peppers, Water, Salt, Citric Acid;Shallots;Extra Virgin Olive Oil;Red Wine Vinegar, Water, Potassium Metabisulfite.;Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil;Kosher Salt;White Pepper;"
